ID,gender,energy[kcal],carb[g],lipid[g],protein[g],vitamin[mg],mineral[mg],age
1,men,2600,358,72,110,132,12163,18-29
2,men,2700,371,75,112,132,12143,30-49
3,men,2600,358,72,110,133,12143,50-64
4,women,2000,275,56,83,125,10276,18-29
5,women,2050,282,57,85,127,10296,30-49
6,women,1950,268,54,83,127,10290,50-64
